Title:,Cancelled from the Airline Performance - Arrivals Database,,,,,,,,,,,
SubTitle:,Airline,,,,,,,,,,,
Time:,01/01/2010 - 08/31/2021,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#
Citation:,"Bureau of Transportation Statistics, Bureau of Transportation Statistics  (2021-11-25). Cancelled: Cancelled | American Airlines Inc.: AA, American Eagle Airlines Inc.: MQ, Delta Air Lines Inc.: DL, United Air Lines Inc.: UA, 01/01/2010 - 08/31/2021. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  007-001-007 doi:https://doi.org/10.6068/DP17D6D230C7543",,,,,,,,,,,
ColumnCount:,13,,,,,,,,,,,
RowCount:,4231,,,,,,,,,,,
,,,,,,,,,,,,
Time,American Airlines Inc.: AA,American Airlines Inc.: AA,American Airlines Inc.: AA,American Eagle Airlines Inc.: MQ,American Eagle Airlines Inc.: MQ,American Eagle Airlines Inc.: MQ,Delta Air Lines Inc.: DL,Delta Air Lines Inc.: DL,Delta Air Lines Inc.: DL,United Air Lines Inc.: UA,United Air Lines Inc.: UA,United Air Lines Inc.: UA
1/1/2010,0,0,0,0,1,,0,0,0,0,0,0
1/2/2010,0,0,0,2,0,,0,0,2,0,0,0
1/3/2010,3,0,1,2,2,,1,1,3,1,0,0
1/4/2010,0,0,0,0,1,,0,0,1,0,0,0
1/5/2010,2,0,0,0,0,,0,0,1,0,0,0
1/6/2010,3,0,1,0,1,,0,0,1,1,0,1
1/7/2010,6,0,1,0,1,,1,5,7,2,0,1
1/8/2010,6,1,2,0,1,,2,3,8,1,0,0
1/9/2010,0,1,1,0,0,,0,0,0,0,0,0
1/10/2010,1,1,0,1,2,,1,1,0,0,0,0
1/11/2010,5,0,2,0,0,,0,0,3,0,0,0
1/12/2010,4,1,0,0,1,,0,0,2,0,0,0
1/13/2010,0,0,0,0,2,,0,0,1,0,0,0
1/14/2010,1,0,0,0,0,,0,0,0,1,0,0
1/15/2010,0,0,1,0,0,,0,0,0,0,0,0
1/16/2010,1,0,0,1,0,,1,0,1,0,0,0
1/17/2010,2,1,1,0,0,,0,0,0,0,0,0
1/18/2010,0,0,0,1,1,,0,0,3,0,0,0
1/19/2010,0,1,0,0,0,,0,0,2,0,0,0
1/20/2010,3,1,3,0,1,,0,0,3,0,0,0
1/21/2010,1,2,1,0,1,,1,1,8,0,0,0
1/22/2010,1,0,0,0,1,,0,0,3,0,0,1
1/23/2010,0,1,0,0,0,,1,0,1,0,0,0
1/24/2010,0,0,0,3,0,,0,2,3,0,0,0
1/25/2010,12,1,3,11,17,,4,2,31,2,0,1
1/26/2010,1,1,1,0,1,,1,0,2,1,0,0
1/27/2010,0,2,1,0,0,,1,0,1,1,0,0
1/28/2010,5,0,0,0,2,,1,1,8,2,0,0
1/29/2010,3,2,1,0,4,,1,0,5,0,0,0
1/30/2010,1,2,1,11,4,,0,0,0,0,0,0
1/31/2010,1,0,1,3,6,,0,0,0,0,0,0
2/1/2010,4,0,2,0,1,,0,1,1,0,0,0
2/2/2010,3,0,0,0,0,,1,0,0,1,0,0
2/3/2010,1,0,0,0,0,,0,0,3,1,0,1
2/4/2010,1,0,0,0,0,,0,0,0,0,0,0
2/5/2010,2,2,0,4,1,,5,1,12,2,2,0
2/6/2010,4,3,1,9,0,,2,0,1,0,0,0
2/7/2010,0,0,1,8,0,,0,0,1,0,0,0
2/8/2010,2,0,1,6,1,,0,0,3,0,0,0
2/9/2010,9,7,4,3,3,,9,1,13,8,8,6
2/10/2010,44,23,15,20,31,,34,15,66,14,7,7
2/11/2010,4,1,2,9,10,,0,0,13,0,1,0
2/12/2010,6,0,4,0,1,,2,8,16,0,0,0
2/13/2010,0,1,0,0,0,,3,3,6,0,0,0
2/14/2010,0,0,0,0,0,,0,0,5,0,0,0
2/15/2010,0,0,0,0,2,,1,4,7,0,0,0
2/16/2010,3,0,0,7,12,,0,0,15,1,0,0
2/17/2010,1,0,1,1,1,,0,0,4,0,0,0
2/18/2010,1,0,1,1,0,,1,0,0,0,0,0
2/19/2010,0,0,0,0,0,,0,0,2,0,0,0
2/20/2010,1,0,0,0,0,,0,0,0,0,0,0
2/21/2010,1,1,0,0,0,,0,0,0,2,0,1
2/22/2010,0,0,1,0,1,,1,1,1,0,0,0
2/23/2010,5,1,1,2,4,,0,2,5,1,0,0
2/24/2010,4,0,1,1,1,,0,2,10,3,0,2
2/25/2010,28,18,12,8,21,,15,8,36,9,6,7
2/26/2010,19,21,7,15,26,,31,2,44,6,2,1
2/27/2010,1,1,0,1,0,,0,0,0,0,0,0
2/28/2010,0,0,0,0,0,,0,0,1,0,0,0
3/1/2010,1,0,0,2,0,,3,0,1,0,0,0
3/2/2010,0,0,0,0,0,,2,3,10,0,0,0
3/3/2010,0,0,0,1,0,,2,3,12,0,0,0
3/4/2010,2,0,0,0,0,,0,1,1,0,0,0
3/5/2010,0,0,0,0,0,,0,1,0,0,0,0
3/6/2010,0,0,0,0,0,,0,0,0,0,0,0
3/7/2010,0,0,1,0,0,,0,0,0,0,0,0
3/8/2010,0,1,2,0,0,,0,0,0,1,0,0
3/9/2010,0,0,0,0,0,,0,1,1,1,0,0
3/10/2010,1,0,0,0,0,,0,1,1,0,0,0
3/11/2010,0,1,0,0,0,,0,1,4,0,0,1
3/12/2010,0,0,1,1,1,,0,2,4,1,0,1
3/13/2010,9,18,2,15,4,,26,2,21,0,2,1
